id,text,sentiment
303,"Означает ли это, что пока договорённости по ПРО можно, в общем, отложить, не принимает Америка Ваши предложения, или всё-таки есть какие-то подвижки в этом вопросе?",neutral
304,"Дмитрий Анатольевич, по-прежнему сохраняется интрига, кто же возглавит МВФ. Хоть в рамках «восьмёрки» этот вопрос не обсуждался, но на двусторонних встречах наверняка этот вопрос поднимался. ",negative
305,"Кто, по Вашему мнению, может стать главой МВФ и собирается ли Россия выдвигать своего кандидата?",neutral
306,"Вчера, после встречи с Николя Саркози, Вы заявили о том, что через две недели будет подписан контракт о приобретении французских вертолётоносцев «Мистраль». ",negative
307,"Означает ли это, что Россия получит доступ к западным военным технологиям, ",negative
308,"и не помешает ли это развитию наших военных технологий в постройке новых отечественных кораблей?",positive
309,"Дмитрий Анатольевич, хотелось задать вопрос о российском бизнес-климате. Вы последнее время уделяете ему довольно большое внимание.",neutral
310,"Аналитики признали размещение «Яндекса» самым успешным за последнее время, и эксперты связывают это с общим интересом к интернет-компаниям инвесторов. ",neutral
311,"На Ваш взгляд, может ли повлиять и насколько может повлиять успех «Яндекса» на интерес инвесторов к России как к высокотехнологичному объекту?",positive
312,"Господин Президент, мы знаем, что Вы обсуждали с партнёрами ситуацию по Сирии. ",negative
313,"Какая позиция России по этому вопросу? ",neutral
314,"Правда ли, что Россия – единственная страна из «восьмёрки», которая выступила против новых санкций против Башара Асада?",positive
315,"Дмитрий Анатольевич, помимо кандидатуры главы МВФ нас интересует ещё одна кандидатура. Трудно себе представить, чтобы с Вами не обсуждалась кандидатура будущего главы Совета Федерации.",negative
316,"Кого Вы видите на этом посту?",neutral
317,"У меня вопрос по интернету. Как Вы оцениваете итоги заседания, которое вчера было? ",neutral
318,"Оно же было очень важным, поскольку оно было первое. ",positive
319,"И какие Ваши инициативы, которые Вы там, насколько я знаю, озвучивали, могут быть приняты международным сообществом в будущем?",positive
320,"Россия признает Палестинское государство в сентябре, если не будет прогресса на переговорах по ближневосточному урегулированию?",neutral
321,"Дмитрий Анатольевич, вчера, после встречи с Обамой, было достаточно сенсационное заявление американской администрации о том, что они готовы выплатить пять миллионов долларов, но не за голову, будем так говорить, а за информацию о местонахождении Доку Умарова. ",negative
322,"Вы можете прояснить вообще, о чём идет речь: ",neutral
323,"это было запросом российской стороны? ",neutral
324,"Это Америка выступила с такой инициативой? ",neutral
325,"О чём вообще идёт речь, о каком вознаграждении? Кто, где, кого будет искать?",neutral
326,"Дмитрий Анатольевич, вопрос следующий. Ваши коллеги по «большой восьмёрке» интересовались ли у Вас, может быть, как-то приватно или при двусторонних встречах, о Вашем потенциальном участии в выборах Президента 2012 года, и если интересовались, что Вы им ответили?",neutral
327,"Как Вы думаете, могут ли Россия и Япония найти общий язык и взаимоприемлемый выбор?",positive
328,"Вопрос по поводу Маргелова. Вы сказали, что направляете его не в Триполи, а в Бенгази. ",negative
329,"И второй вопрос. Вы сказали, что Каддафи должен уйти, а куда он уйдёт?",negative
330,"Россия примет Каддафи?",neutral
331,"Дмитрий Анатольевич, «восьмёрка» вновь вернулась к обсуждению экономических мировых проблем, хотя прерогатива была отдана «двадцатке». ",positive
332,"Это значит, что участники «восьмёрки» не доверяют участникам «двадцатки»?",neutral
333,"Дмитрий Анатольевич, мы сегодня узнали, что (не сегодня, пару дней назад) Вы освоили новую программу, и из неё узнаем много нового, интересного из Вашей жизни.",positive
334,"В частности, мы узнали, что сегодня Вы на завалинке побеседовали с Президентом США. ",neutral
335,"О чём вы говорили? ",neutral
336,"Какие вопросы обсуждали?",neutral
337,"О чём договорились? ",neutral
338,"И как прошла ваша встреча?",neutral
339,"Дмитрий Анатольевич, чувствуется ли изменение приоритетов во внешнеполитических вопросах Франции с учётом дебюта Франсуа Олланда (Ф.Олланд – Президент Франции) на саммите? ",neutral
340,"И помимо встречи с Бараком Обамой у Вас было достаточно много двусторонних переговоров. ",positive
341,"Хотелось бы услышать их подробности, в частности, пригласил ли Вас Дэвид Кэмерон (Д.Кэмерон – Премьер-министр Великобритании) на Олимпиаду в Лондоне? Спасибо.",neutral
342,"Дмитрий Анатольевич, скажите, пожалуйста, каковы результаты обсуждения финансового спасения Европы?",neutral
343,"А если подробнее? ",neutral
344,"Как будет спасена?",neutral
345,"Спасибо большое! Если позволите, к внутренней политике, Дмитрий Анатольевич.",neutral
346,"После смены структуры Правительства будут ли меняться или как-то корректироваться планы работы на ближайшие годы? Спасибо!",positive
347,"Вопрос тоже по внутренней политике, если позволите: ",neutral
348,"в этот раз время на формирование Правительства у Вас ушло больше. ",neutral
349,"С чем это связано? ",neutral
350,"И поделитесь, насколько тяжело было подбирать кандидатуры – с учётом того, что Вы объявили, что хотите обновить состав на 70–80%. Спасибо.",neutral
351,"Владимир Владимирович, в ходе этой «восьмёрки» большое внимание прессы было уделено общению с Президентом США Бараком Обамой. Вчера мы довольно долго ждали этого события.",positive
352,"Скажите, после обмена посланиями поднимался ли вопрос о ПРО и, может быть, удалось достичь каких-то подвижек в этом направлении?",neutral
353,"Владимир Владимирович, о чём Вы договорились с Обамой по Сирии, принимая во внимание тот факт, что США обвиняют Асада в применении химического оружия? ",neutral
354,"И ещё в тексте итоговой резолюции сказано, что провести мирную конференцию нужно как можно скорее. ",neutral
355,"А может ли такая формулировка стать поводом вообще её не проводить?",neutral
356,"Владимир Владимирович, во время саммита мы слушали заявления некоторых политиков, читали местные СМИ.",positive
357,"И складывалось полное ощущение, что Вы один против семи, то ли «семь плюс один», но никак не «восьмёрка» – по крайней мере по сирийскому вопросу. ",negative
358,"Это так, Вы чувствовали себя одиноким?",neutral
359,"Владимир Владимирович, кипрская ситуация обнажила проблему офшоров. ",positive
360,"И здесь на повестке дня вроде бы стояли вопросы борьбы с офшорами, ",neutral
361,"Вы поднимали неоднократно эту проблему, в том числе в президентском Послании. ",neutral
362,"Как, по Вашим ощущениям, существует прогресс в решении этого вопроса?",positive
363,"В продолжение экономической темы, Владимир Владимирович, интересно было бы услышать Ваш комментарий о том, что, как, наверное, Вы знаете, сегодня было объявлено о запуске переговоров между США и Европейским союзом о зоне свободной торговли.",neutral
364,"Как Вы оцениваете перспективы, какое влияние – позитивное или негативное – это окажет на Россию?",negative
365,"Владимир Владимирович, Вы уже сказали, что саммит пройдёт в Сочи 3–4 июля…",neutral
366,"Это будет новая площадка или уже имеющаяся, которая уже есть для Олимпиады? Или же это будет что-то новое? Это первое.",positive
367,"Второе. Вы уже тоже сказали, что от британского председательства вы некоторые темы в Сочи используете. ",neutral
368,"А какие темы ещё будут российские? Какие британские, какие российские?",positive
369,"Владимир Владимирович, Россия регулярно осуждает Запад за планы поставок оружия вооружённой сирийской оппозиции, которая, как Вы сказали уже в Лондоне, отличается иногда особенной жестокостью. ",positive
370,"Тем не менее Россия сама поставляет оружие правительству Асада, которое по факту является одной из воюющих сторон в гражданской войне, где, по оценкам ООН, гибнут тысячи мирных людей. ",neutral
371,"В этой связи вопрос: вы планируете продолжать эти поставки и дальше? ",positive
372,"Идут ли они сейчас, каких конкретно вооружений и возможны ли новые контракты? Спасибо.",positive
373,"Владимир Владимирович, недавно в Иране прошли выборы, как раз перед саммитом это было. Вы обсуждали, наверное, и иранскую ядерную проблематику на саммите. ",neutral
374,"Вы не могли бы прокомментировать, как может измениться позиция Ирана на международной арене в связи с избранием нового президента?",positive
375,"Были ли сегодня приняты решения по новой мировой финансовой архитектуре ",neutral
376,"и насколько эти решения справедливы, с Вашей точки зрения, учитывая, например, и то, что, насколько я понял, сегодня о глобальной резервной валюте речь так и не зашла?",negative
377,"Не задать этот вопрос было бы преступлением. ",neutral
378,"Вы встретились с Президентом США Бараком Обамой. ",neutral
379,"Вам удалось взглянуть ему в глаза. ",neutral
380,"Вы там что нибудь увидели?",neutral
381,"Дмитрий Анатольевич, в коммюнике саммита записано, что страны «двадцатки» потратят до конца следующего года пять триллионов долларов на развитие своих экономик. ",positive
382,"Не могли бы Вы сказать, как эта цифра была выработана, ",neutral
383,"каким Вы видите вклад России в эту цифру ",neutral
384,"и, вообще, давал ли кто то конкретные обещания по цифрам?",neutral
385,"Дмитрий Анатольевич, при предыдущем Президенте США во многом проблемы в российско-американских отношениях сглаживались именно благодаря хорошим личным отношениям между лидерами. ",neutral
386,"За те полтора часа, которые у Вас были на общение с Президентом Обамой, установились ли у Вас хорошие личные отношения? ",positive
387,"И в дополнение к этому вопросу. Мало было сказано о противоракетной обороне: ",neutral
388,"может быть, Вы видите какие то подвижки в этом вопросе?",neutral
389,"Дмитрий Анатольевич, все участники саммита согласились с тем, что нужно быть более открытыми, что нужно раскрывать информацию о собственниках компаний, о сделках, о слияниях и поглощениях, в том числе о бонусах и премиях, которые выплачиваются руководству компаний.",neutral
390," В Америке уже принята инициатива о налогообложении бонусов. ",positive
391,"Может быть, в России подумать о том, чтобы ввести законодательные ограничения на премии и бонусы компаниям, получившим государственную поддержку?",negative
392,"К саммиту «двадцатки» все задавали вопрос: те решения, которые здесь приняты, это начало конца кризиса или это очередной этап подготовки, развития чего то. ",neutral
393,"Чего ждать людям? ",neutral
394,"Это начало конца кризиса или нет?",neutral
395,"Дмитрий Анатольевич, насколько нам известно, Вы сегодня упоминали о проблеме протекционизма на саммите и даже говорили, что Россия готова отказаться от таких мер. ",negative
396,"О чём идёт речь: о мерах, которые уже приняты,",neutral
397,"мы откажемся от дальнейшего введения каких либо заградительных пошлин ",neutral
398,"или мы будем смотреть на то, как остальные страны ведут себя по этому вопросу?",positive
399,"Добрый день. Дмитрий Анатольевич, Вы уже говорили о том, что приняты решения о некоторой специализации саммита G20, то есть он будет заниматься экономическими проблемами. ",neutral
400,"Тогда какие функции остаются у «восьмёрки», ",neutral
401,"и насколько строгой будет эта специализация? ",neutral
402,"То есть будет ли «восьмёрка» обсуждать экономические проблемы или теперь она будет обсуждать какие то другие, которые не определены?",neutral
403," И есть ли желание подвёрстывать саммиты «двадцатки» к «восьмёрке»? То есть будут ли они проходить в связке?",positive
404,"Дмитрий Анатольевич, сегодня «двадцатка» приняла ряд важных решений по ограничению бонусов для банковских топ-менеджеров. ",positive
405,"Как эти решения будут реализовываться в России? ",positive
406,"Возможно, будет принят отдельный закон? ",neutral
407,"И вообще, на Ваш взгляд, за последние полгода банковские топ-менеджеры стали более скромными?",positive
408,"Кризис показал, что в тупике находится не только мировая экономика. ",negative
409,"А выступление в том числе Барака Обамы на Генассамблее ООН показало, что США, похоже, пытаются воспользоваться конструкцией, когда если ты не можешь противостоять процессу, в данном случае процессу слома однополярного мира, то надо его возглавить. ",negative
410,"В том числе даже по изменению климата, что ещё недавно отрицали Штаты. ",neutral
411,"Что из этого, по вашему, может получиться?",positive
412,"И второй вопрос. Насколько я понимаю, вопрос о налоговых гаванях и несотрудничающих юрисдикциях сегодня практически не поднимался. ",neutral
413,"Значит ли это, что проблема решена? ",neutral
414,"Особенно применительно к России: то, что российские компании, порой даже крупные, работают через оффшоры и принадлежат неизвестно кому, ",neutral
415,"– что это значит? ",neutral
416,"Это недостаток патриотизма, законодательства или даже совести с их стороны?",neutral
417,"Дмитрий Анатольевич, позвольте вернуться к теме Ирана: она сегодня получила новый оборот. ",positive
418,"Скажите, насколько информация о строительстве второго завода стала для Москвы неожиданной,",positive
419," и, если к 1 октября Иран не предоставит доказательств того, что их ядерная программа носит мирный характер, на какие шаги Москва готова пойти в этом случае?",neutral
420,"Дмитрий Анатольевич, Вы сказали о том, что работа над договором СНВ-2 скорее всего будет завершена в ранее намеченные сроки. ",negative
421,"В связи с этим – не собираетесь ли Вы в конце года вновь посетить США и нанести ответный госвизит? ",neutral
422,"И, если можно, поделитесь своими впечатлениями об Америке:  понравилась ли она Вам; ",neutral
423,"если да, то чем?",neutral
424,"Господин Президент, США изменили свои планы в сфере ПРО в Европе. ",positive
425,"Остаются ли у России планы по размещению ракетных комплексов «Искандер» в Калининградской области в настоящий момент?",neutral
426,"Ваша статья «Россия, вперёд!» произвела большой резонанс в России. ",positive
427,"А во время Вашей поездки, общения с иностранными лидерами, экспертами они как то обсуждали идеи этой заметки? ",negative
428,"Вообще, Вам поступают из за рубежа какие то предложения? ",positive
429,"И в чём эти предложения заключаются?",neutral
430,"Дмитрий Анатольевич, Вы не очень много сказали про какие то продвижения по мировой финансовой архитектуре на саммите – вот эти обсуждения. ",neutral
431,"Может быть, Вы более подробно уточните, какие Ваши предложения поддержаны, какие ещё не поддержаны? Спасибо.",neutral
432,"Дмитрий Анатольевич, Вы вчера на встрече со студентами [в Питтсбургском университете] сказали, что у Вас не было каких то сверхъестественных президентских амбиций. ",negative
433,"Сейчас Вы уже год с лишним проработали в должности главы государства. ",neutral
434,"Как изменилось Ваше восприятие этой работы? ",neutral
435,"И, на Ваш взгляд, какой самый большой плюс в работе Президента ",neutral
436,"и самый большой минус?",neutral
437,"Если позволите, я к вопросу про МВФ вернусь. ",neutral
438,"Вы сказали, что пятипроцентное перераспределение квот – это компромисс.",neutral
439,"Вы можете сказать, за этим компромиссом есть какие то фундаментальные экономические показатели или это среднеарифметическое между разными позициями?",neutral
440,"И Вы тоже рассказали, что пришло понимание, что кто то должен подвинуться. ",negative
441,"Вы говорили конкретно, кто?",neutral
442,"Дмитрий Анатольевич, Вы закончили своё вступительное слово фразой: «Реформы должны продолжаться». ",neutral
443,"В связи с этим вопрос. Звучит очень много инициатив в последнее время о новой финансовой валютной системе в мире, ",neutral
444,"и наверняка это потребует дальнейшего реформирования Международного валютного фонда, Всемирного банка и прочих системообразующих институтов. ",positive
445,"Как, по-вашему, эти реформы должны проходить ",neutral
446,"и в какие сроки? Спасибо.",neutral
447,"Дмитрий Анатольевич, не могли бы Вы прокомментировать сообщение по Ирану? ",neutral
448,"Директор ЦРУ сказал, что у Ирана сейчас достаточно урана, чтобы создать оружие. ",neutral
449,"Есть ли у России такие сведения? ",positive
450,"Как Вы к этому относитесь?",neutral
451,"Дмитрий Анатольевич, как Вы оцениваете итоги референдума в Киргизии?",neutral
452,"С точки зрения наркотрафика Ваша инициатива по глобальному плану, на мой взгляд, говорит о том, что ситуация катастрофична. ",neutral
453,"Наверное, Вы её так оцениваете. ",neutral
454,"Тем не менее львиная доля российско-американского заявления по Афганистану была посвящена в том числе наркотрафику. ",neutral
455,"Свидетельствуют ли эти слова о том, что сделан первый, маленький реальный шаг в том, что касается Афганистана?",negative
456,"Дмитрий Анатольевич, Вам удалось как-нибудь посмотреть футбол во время саммитов, в том числе матч Англия–Германия? ",neutral
457,"Что скажете англичанам? За кого болеете сейчас?",neutral
458,"Дмитрий Анатольевич, Вы сейчас упомянули об одной из самых главных тем саммита – это угроза валютных войн.  ",negative
459,"На Ваш взгляд, что будет происходить, если всё‑таки события, которые развивались в последнее время, будут развиваться и дальше – и валютные войны всё‑таки начнутся?",positive
460,"Что будет происходить с мировой экономикой, с российской экономикой? ",neutral
461,"И, безусловно, всех интересует вопрос, что будет с российским рублём в этой ситуации?",neutral
462,"Дмитрий Анатольевич, Вы особо отметили, что следующий саммит «Группы двадцати» будет уже посткризисным. ",neutral
463,"В связи с этим, на Ваш взгляд, по итогам этого саммита насколько лидеры вообще проявили готовность договариваться уже в этот посткризисный период? ",neutral
464,"Потому что понятно, что, когда был кризис, все, в общем, действовали сообща. ",neutral
465,"Что сейчас?",neutral
466,"И в этой связи подвопрос. Вчера на бизнес-саммите Вы сказали о том, что дополнительный рост экономике может придать развитие малого и среднего бизнеса. ",positive
467,"Что Россия намерена предпринять в этой связи? ",neutral
468,"Какие меры уже приняты и чего стоит ждать? ",positive
469,"И как эту идею восприняли Ваши коллеги?",neutral
470,"Дмитрий Анатольевич, невольный вопрос, навеянный тем, что я представляю газету «Коммерсант»: наша газета вчера сообщила о том, что сеть российских разведчиков в США выдал сотрудник СВР полковник Щербаков и что в СВР сейчас идёт масштабное расследование. ",neutral
471,"Как Вы думаете, какие результаты могут быть у этого расследования ",neutral
472,"в кадровом плане для руководства СВР или в организационном?",neutral
473,"Что касается «Базеля-3», как Вам кажется, какое влияние окажет на российскую банковскую систему введение «Базеля-3»? ",neutral
474,"Во‑вторых, как Вы относитесь к идее перевести наши банки на международные стандарты финансовой отчётности и отменить наконец российские стандарты бухгалтерского учёта?",positive
475,"Дмитрий Анатольевич, Вы в Сеуле не встречались с Вашими коллегами из стран БРИК?",neutral
476,"В ходе дискуссий страны БРИК здесь занимали различные, иногда противоположные позиции, в том числе по поводу количественного смягчения, которое проводит Федеральная резервная система США. ",neutral
477,"С Вашей точки зрения, с учётом этих разногласий, каково будущее этой группы, ",positive
478,"и будет ли она каким‑то образом трансформироваться или, может быть, расширяться?",positive
479,"Дмитрий Анатольевич, у меня вопрос по внутренней политике. На прошлой неделе Совет Федерации голосовал по закону, который изменяет процедуру наделения сенаторов полномочиями. ",neutral
480,"До этого голосования Сергей Михайлович Миронов написал письмо о том, что он не согласен с этой процедурой. ",negative
481,"Как Вы считаете, чем это вызвано? ",neutral
482,"Тем, что Сергей Михайлович очень заботится и переживает по поводу сенаторов, или тем, что он боится, что его полномочий станет несколько меньше? ",negative
483,"И какое Вы видите политическое будущее для Сергея Михайловича Миронова?",neutral
484,"Дмитрий Анатольевич, если вернуться к визиту в Корею, обсуждался ли вопрос насчёт транскорейской магистрали? ",neutral
485,"Какие политические решения, Вы считаете, необходимо принять для того, чтобы реализовался этот замечательный проект воссоединения транскорейской магистрали?",positive
486,"Да, соединения с Транссибом и так далее. Что Россия может и что она для этого делает в плане сближения двух Корей?",positive
487,"Дмитрий Анатольевич, принято ли сегодня на «двадцатке» консолидированное решение по спасению Греции и еврозоны в целом?",neutral
488,"Изменились ли как то российские предложения по поддержке в связи с последними событиями в Греции? ",neutral
489,"Недавно называлась цифра 10 миллиардов. ",neutral
490,"Сколько готов потратить БРИКС? ",neutral
491,"Есть ли согласованная, консолидированная цифра для помощи Греции и еврозоне? Спасибо.",positive
492,"Дмитрий Анатольевич, Вы сегодня на форуме «бизнес-двадцатки» упоминали об авторских правах в интернете, в том числе в Вашем послании к лидерам «двадцатки» на сайте Кремля. ",positive
493,"Интересна реакция партнёров по «двадцатке» на эту тему.",neutral
494,"Хотела спросить по поводу ВТО. ",neutral
495,"Сейчас идёт противоречивая информация относительно переговорного процесса. ",neutral
496,"Хотелось бы узнать, на какие условия, какие предложения согласилась Россия, в том числе, может быть, в части мониторинга товаров, переправляемых через границу.",neutral
497,"То есть мы согласны на предложение Швейцарии?",positive
498,"Владимир Владимирович, Вы за эти два дня очень много, наверное, говорили с Вашими партнёрами по сирийской проблеме. ",positive
499,"И многие Ваши партнёры считают, что эту проблему невозможно разрешить без смены режима, так сказать, без ухода Президента Асада. ",neutral
500,"Вы неоднократно говорили, что Россия не держится за режим Асада, но необходимо знать ответ на вопрос, что будет дальше, что будет в постасадовской Сирии. ",neutral
501,"Наверняка Вы задавали этот вопрос Вашим партнёрам. ",neutral
502,"Что они Вам ответили? ",neutral
503,"Устраивает ли это видение, которое было выражено Вашими партнёрами, Вас? ",positive
504,"Если устраивает, то готова ли Россия согласиться на уход и на смену режима?",neutral
505,"Владимир Владимирович, Вы сказали о 10 миллиардах долларов, которые Россия выделяет Международному валютному фонду. ",positive
506,"Этой же дорогой идут и другие страны ",neutral
507,"– выделяется более 400 миллиардов долларов. ",positive
508,"Но, выступая на ряде встреч, выступая в газетах, Вы высказали мысль, что вливание ликвидности – это мера, которая может на каком-то этапе стабилизировать ситуацию, но не является системной. ",neutral
509,"Какие системные меры Вы видите для того, чтобы мировую экономику «привести в чувство» и улучшить ситуацию в ней?",neutral
510,"Мы тут гадаем, поедете ли Вы на летнюю Олимпиаду в Лондоне. ",neutral
511,"Есть разные версии. ",neutral
512,"Возможно, Вы обсуждали эту тему с господином Кэмероном. ",neutral
513,"Не могли бы сейчас внести ясность? Спасибо.",positive
514,"Владимир Владимирович, звучит, конечно, необычно, но Вы новичок на саммитах «большой двадцатки». ",neutral
515,"С другой стороны, это даёт Вам возможность без излишнего политического, дипломатического этикета сказать, что Вам нравится, что не нравится, что надо поменять, тем более что Россия будет возглавлять следующий саммит «большой двадцатки». ",neutral
516,"Вы считаете, что можно поменять, а что нужно оставить?",negative
517,"У меня  вопрос о Вашей встрече с Бараком Обамой. ",neutral
518,"В последнее время появляются сведения о том",neutral
519,"Насколько подробно эта тема обсуждалась во время Вашей беседы с Президентом США, ",neutral
520,"и какие доводы Вы привели ему в этом разговоре?",positive
521,"На Ваш взгляд, есть ли у кризиса в еврозоне тенденция к серьёзному ухудшению,",positive
522," и не поэтому ли Россия, например, раздумывает о выделении кредита Кипру? ",neutral
523,"Вторая часть вопроса: как Вы после совещания «двадцатки», на котором присутствовали, оцениваете действия коллег из Европы по преодолению этого кризиса?",neutral
524,"Относительно Ваших переговоров с Обамой. ",neutral
525,"Хотела бы уточнить",neutral
526,"стоит ли нам рассчитывать на улучшение отношений с США",neutral
527,"И будет ли решена такая проблема",neutral
528,"Я вчера прочитал Вашу статью, которая была опубликована в мексиканской газете «El Universal». ",neutral
529,"В этой статье Вы подчеркнули необходимость улучшения",neutral
530,"У меня такой вопрос: кто или какой политик для Вас является моделью? ",positive
531,"В последнее время Вы высоко оцениваете пример реформатора Петра Столыпина.",positive
532,"Как раз в продолжение темы о Бараке Обаме. ",positive
533,"Вы провели много встреч",positive
534,"Отталкиваясь от этого: с кем бы Вы пошли в разведку?",positive
535,"Владимир Владимирович, в Чеченской Республике при всемерной Вашей поддержке, благодаря усилиям Рамзана Кадырова восстановлены города и сёла, социальная сфера. ",positive
536,"Вместе с тем остаётся вопрос промышленности, создания рабочих мест.",neutral
537,"Это очень злободневный вопрос сегодня.",neutral
538,"И в этой связи хотел бы напомнить, что флагманом чеченской промышленности всегда была нефтяная отрасль, ",neutral
539,"а сегодня, как известно, «Роснефть» тормозит строительство НПЗ. ",neutral
540,"Скажите, пожалуйста, Вы как Президент можете содействовать восстановлению промышленности, строительству НПЗ? Это первый вопрос, Владимир Владимирович.",positive
541,"И второй вопрос. Владимир Владимирович, лично к Вам обращаюсь. Вы знаете, что в Великую Отечественную войну велась битва за Кавказ, в первую очередь за Грозный. ",positive
542,"Сырьё поставлял тоже Грозный наряду с Баку. ",positive
543,"Грозненцы вместе с другими народами России защищали рубежи на фронтах. ",neutral
544,"Мы все эти годы надеялись, что город Грозный получит звание «Город воинской славы», но до сих пор этого не случилось.",neutral
545,"К Вам просьба и вопрос, Владимир Владимирович.  Повлияйте, пожалуйста, на эту ситуацию, чтобы кандидатура Грозного беспристрастно была рассмотрена на присвоение почётного звания «Город воинской славы».Спасибо большое.",neutral
546,"Владимир Владимирович, наверное, без преувеличения можно сказать, что тень Сирии нависала над нынешним «саммитом двадцати», в то время как по вопросам сугубо экономической повестки дня лидерам удалось найти взаимоприемлемые решения. ",neutral
547,"В вопросе, что делать дальше с Сирией, как нам стало известно, мнения разделились примерно поровну. ",neutral
548,"В связи с этим хочется спросить: насколько повлияли и могут ли повлиять в дальнейшем политические разногласия на принятие экономических решений? ",positive
549,"И что ждёт в дальнейшем отношения России и Запада?",positive
550,"Владимир Владимирович, хотел у Вас спросить, в итоге получилось ли Вам встретиться с Бараком Обамой, хотя эта встреча не планировалась, но, может быть, на ногах, в неформальной обстановке? ",negative
551,"У многих экспертов и журналистов складывается мнение, что есть определённое разногласие по международной политике у США и России, но отпечаток накладывается из за того, что у Вас с Президентом США не складываются отношения, как то не получается. ",negative
552,"Как в своё время у Вас со Шрёдером были хорошие отношения, а здесь как то не сложились. ",negative
553,"Так ли это? ",neutral
554,"Как Вы можете охарактеризовать отношения с Обамой?",neutral
555,"Вы только что сказали, что никакого сближения позиций между Вами и Президентом Обамой на встрече не произошло. ",neutral
556,"А можете ли Вы сказать, что во время встречи с остальными лидерами чьи то позиции изменились в отношении Сирии хотя бы немного?",negative
557,"Коль у вас была встреча на 20–30 минут, и линии коммуникаций между Вашингтоном и Москвой улучшаются, не входит ли в эти линии коммуникаций возможность обмена Эдварда Сноудена на кого то из российских граждан, которые, как считает российский МИД, несправедливо осуждены в Соединённых Штатах",neutral
558,"в первую очередь господин Бут?",neutral
559,"А что касается сближения позиций остальных лидеров?",neutral
560,"Добрый день, Владимир  Владимирович! Я вернусь, если позволите, к проблеме Сирии. Каковы, по Вашему мнению, возможные последствия возможного удара США по Сирии на Ближнем Востоке, особенно в таких странах, как Египет, где новая власть заявляет о борьбе с терроризмом? ",neutral
561,"И вообще, как Вы оцениваете ситуацию в Египте сейчас?",neutral
562,"Я редактор газеты «Общество и экология», 14 лет её издаю и смотрю на экономику глазами эколога.",positive
563," Хотелось бы Вам сказать, что саммит G20 – это очень важное как с формальной, так и с содержательной точки зрения явление для России и для всего мира, очень важное. ",positive
564,"Он организован очень хорошо, по крайней мере в той части, где мы общаемся с журналистами. ",neutral
565,"Я тоже опрашивал наших коллег. ",neutral
566,"Мне хочется задать вопрос стратегического характера. ",positive
567,"На саммите много говорят об экономике, о финансах, о деньгах, но не говорят или мало говорят, а для меня, по сути, не говорят, об экологии, об информационной политике, о социальной справедливости, о мировоззрении, а ведь Вы своим указом объявили 2013 год Годом охраны окружающей среды. ",negative
568,"Это явление непосредственно влияет, должно влиять на представителей в том числе и саммита. ",neutral
569,"И создаётся впечатление, что на саммите хотят обойти вниманием вопросы экологии и охраны окружающей среды. ",neutral
570,"Может даже создаться впечатление, что саммит решает вопросы «мелкого косметического ремонта» капиталистической системы мирового хозяйствования. ",neutral
571,"А ведь вся экономика не может вечно рост давать, потому что земля наша не резиновая, когда-то этот экономический рост должен прекратиться. ",neutral
572,"Поэтому я хотел бы задать Вам вопрос о Вашем личном видении мировых лидеров: готовы ли они говорить об устойчивом развитии, об экологической безопасности, ",positive
573,"а не только об экономике как таковой? ",negative
574,"Владимир Владимирович, я тоже хочу ненадолго опять вернуться к проблеме Сирии, потому что это всё таки вопрос, который, наверное, по большей части обсуждался за закрытыми дверями. У меня следующий вопрос. ",neutral
575,"Вы как то говорили, что Россия ни при каких условиях не будет вмешиваться собственно в военный конфликт в Сирии. ",neutral
576,"И в связи с этим: если всё таки военные действия там начнутся, Россия будет помогать Сирии?",neutral
577,"Нет, я имею в виду извне. ",neutral
578,"Будет ли Россия помогать Сирии? ",positive
579,"По Вашему мнению, в какой ещё стране может возникнуть подобная ситуация, как в Сирии?",neutral
580,"Где Вы так простыли? ",neutral
581,"Или это были споры до хрипоты?",neutral
582,"Вопрос по «зелёной» экономике и энергетике. В связи с принятием решения о консолидации бюджетов повлияет ли это на налоговую политику нашей страны в части предоставления льгот нефтегазовым компаниям на континентальном шельфе, в том числе и арктическом, ",neutral
583,"с учётом того, что риски высокие, экономические в первую очередь, и высок риск невозврата этих инвестиций?",neutral
584,"А риски для бюджета в итоге колоссальные, конечно. ",negative
585,"Владимир Владимирович, здравствуйте! Телеканал «Дождь». Я хотел бы у Вас спросить про международные отношения в связи с Беларусью, в связи с делом «Уралкалия», Баумгертнером и заочным арестом Сулеймана Керимова. ",negative
586,"Понятно, что мы себя часто сравниваем с Америкой, с Западом. ",positive
587,"В этой ситуации сложно представить, если бы где то на стороне был арестован гендиректор «Кока-колы», что власти долго бы молчали и никак не реагировали. ",negative
588,"С чем связано такое Ваше затишье? ",neutral
589,"Пока не было ни одного упоминания по «Уралкалию». ",negative
590,"И разговаривали ли Вы с Лукашенко по этому вопросу? ",positive
591,"Какая у него была реакция? Спасибо.",neutral
592,"Вы встретились с Дэвидом Кэмероном. ",positive
593,"Как бы Вы охарактеризовали ваши отношения? ",neutral
594,"Есть ли какие то проблемы, препятствия, недопонимание?",neutral
595,"Владимир Владимирович, сначала хотел бы поздравить с успешным проведением саммита. У меня два вопроса.",neutral
596,"Мы знаем, что вчера Вы встретились с Председателем КНР и свидетельствовали о подписании ряда документов о сотрудничестве. ",positive
597,"Обе стороны выразили готовность к расширению сотрудничества.",neutral
